# selection_mode=stats_004
# max_letter_set_size=9
# runs=5
# successful_runs=5
# failed_runs=0
# mode004_timing_total_ms=11419.796
# mode004_timing_build_full_word_set_total_ms=2163.579
# mode004_timing_build_full_word_set_avg_ms=4.327
# mode004_timing_build_full_word_set_calls=500
# mode004_timing_compare_best_total_ms=0.709
# mode004_timing_compare_best_avg_ms=0.002
# mode004_timing_compare_best_calls=450
# mode004_timing_exclude_letters_total_ms=0.000
# mode004_timing_exclude_letters_avg_ms=0.000
# mode004_timing_exclude_letters_calls=500
# mode004_timing_layout_build_total_ms=4869.378
# mode004_timing_layout_build_avg_ms=9.917
# mode004_timing_layout_build_calls=491
# mode004_timing_overlap_check_total_ms=1.336
# mode004_timing_overlap_check_avg_ms=0.003
# mode004_timing_overlap_check_calls=500
# mode004_timing_prepare_layout_input_total_ms=1.115
# mode004_timing_prepare_layout_input_avg_ms=0.002
# mode004_timing_prepare_layout_input_calls=491
# mode004_timing_score_total_ms=12.650
# mode004_timing_score_avg_ms=0.028
# mode004_timing_score_calls=450
# mode004_timing_seed_generation_total_ms=4354.920
# mode004_timing_seed_generation_avg_ms=8.710
# mode004_timing_seed_generation_calls=500
# mode004_timing_validation_total_ms=16.109
# mode004_timing_validation_avg_ms=0.033
# mode004_timing_validation_calls=491
# mode004_seed_selection_approach_id=1
# mode004_trace_log=mode004_trace.log
word	count
DEER	2
PEER	2
REED	2
SEER	2
SPREE	2
ABILITY	1
ALLY	1
AWFUL	1
BAIL	1
BAIT	1
BALL	1
BEER	1
BELL	1
BELLE	1
BILL	1
BLEED	1
BRED	1
BREED	1
CREEP	1
DEEP	1
EDGE	1
EDGER	1
ELDER	1
FALL	1
FLAW	1
FULL	1
GREED	1
HERD	1
HERE	1
LAWFUL	1
LAWN	1
LEDGE	1
LIABILITY	1
LILY	1
LUNA	1
NULL	1
PENCE	1
PRESENCE	1
REBEL	1
REEL	1
SCENE	1
SCREEN	1
SEED	1
SEEN	1
SHEEP	1
SHEER	1
SHEPHERD	1
SPEC	1
SPEED	1
SPHERE	1
TAIL	1
TALL	1
TALLY	1
TILL	1
UNLAWFUL	1
WALL	1
