# selection_mode=stats_005
# max_letter_set_size=9
# runs=20
# successful_runs=20
# failed_runs=0
# mode005_timing_total_ms=821.461
# mode005_timing_build_full_word_set_total_ms=721.773
# mode005_timing_build_full_word_set_avg_ms=5.965
# mode005_timing_build_full_word_set_calls=121
# mode005_timing_layout_build_total_ms=94.502
# mode005_timing_layout_build_avg_ms=4.296
# mode005_timing_layout_build_calls=22
# mode005_timing_mutation_total_ms=0.757
# mode005_timing_mutation_avg_ms=0.054
# mode005_timing_mutation_calls=14
# mode005_timing_repeat_analysis_total_ms=0.165
# mode005_timing_repeat_analysis_avg_ms=0.005
# mode005_timing_repeat_analysis_calls=36
# mode005_timing_seed_initialization_total_ms=3.867
# mode005_timing_seed_initialization_avg_ms=0.036
# mode005_timing_seed_initialization_calls=107
# mode005_timing_validation_total_ms=0.396
# mode005_timing_validation_avg_ms=0.018
# mode005_timing_validation_calls=22
# mode005_top_frequent_share=0.1
# mode005_max_repeat_share=0.4
# mode005_max_swap_cycles=5
# mode005_crosswords_generated_from_stats=10000
# mode005_trace_log=mode005_trace.log
SBCANLHAU 28 18 15 [BASH, BLUSH, BUNCH, BUSH, CANAL, CASH, CASUAL, CLAN, CLASH, CLUB, HAUL, LASH, LAUNCH, LUNA, LUNCH, LUSH, SCAN, SUCH]
YUETRPIWH 4 28 22 [HEIR, HIRE, HURT, HYPE, HYPER, PIER, PITY, PREY, PURE, PURITY, RIPE, RUTH, THEIR, THEY, THREW, TIER, TIRE, TRIP, TRUE, TYPE, TYRE, WHIP, WHITE, WIPE, WIRE, WITH, WITHER, WRITE]
DMSCUYAIY 5 9 9 [ACID, AMID, DAISY, DISC, MAID, MUSIC, SAID, SCAM, SCUM]
EMBVILL 6 11 10 [BELL, BILL, EVIL, LIMB, LIME, LIVE, MILE, MILL, VEIL, VIBE, VILE]
OTNWEXRO 4 18 17 [NEXT, NOTE, ONTO, OWNER, RENT, ROOT, TENOR, TONE, TONER, TOON, TORE, TORN, TOWER, TOWN, WENT, WORE, WORN, WROTE]
UNBLJROSE 8 33 19 [BLUE, BLUR, BONE, BONUS, BORE, BORN, BORNE, BURN, EURO, JUNE, LENS, LOBE, LONE, LORE, LOSE, LOSER, LURE, NOBLE, NOSE, NURSE, ROBE, ROLE, ROSE, RUBLE, RULE, SNORE, SOBER, SOLE, SORE, SOUL, SOUR, SURE, USER]
CMRAGWMID 1 15 9 [ACID, AMID, CARD, CIGAR, DRAG, DRAW, GRAD, GRAM, GRID, GRIM, MAGIC, MAID, RAID, WARD, WARM]
ROHMREAW 6 23 17 [AERO, ARMOR, ARROW, HARE, HARM, HEAR, HERO, HOME, MARE, MARROW, MORE, RARE, REAR, ROAM, ROAR, WARE, WARM, WARMER, WEAR, WHOA, WHOM, WORE, WORM]
IOUJDWNK 2 12 10 [DINO, DOWN, DUNK, JOIN, JUDO, JUNK, KIND, KNOW, UNDO, WIND, WINK, WOUND]
EIDTVNU 3 15 15 [DENT, DIET, DINE, DIVE, DUET, DUNE, EDIT, TEND, TIDE, TUNE, UNIT, UNITE, VEIN, VENT, VINE]
IYGNTEGAD 4 25 22 [AGENT, AGING, ANTI, DATE, DATING, DENT, DENY, DETAIN, DIET, DINE, DING, DYING, EATING, EDIT, GAIN, GANG, GATE, GIANT, IDEA, NEAT, TEND, TIDE, TIDY, TINY, TYING]
AXUESOKM 2 10 10 [EXAM, MAKE, MASK, MOUSE, MUSE, SAKE, SAME, SMOKE, SOAK, SOME]
VELSIWAO 2 28 21 [AISLE, ALIVE, ALSO, EVIL, ISLE, LIVE, LOSE, LOVE, OLIVE, OVAL, SAIL, SALE, SAVE, SEAL, SLAVE, SLOW, SOIL, SOLE, SOLVE, VALE, VASE, VEIL, VIEW, VILE, VIOLA, VISA, WAVE, WISE]
EFKOUCFRJ 3 14 13 [COKE, CORE, CORK, CUFF, CURE, EURO, FORCE, FORE, FORK, FOUR, JOKE, JOKER, OFFER, ROCK]
NSMXACJEO 17 24 18 [ACNE, CAME, CANE, CANOE, CASE, COMA, COME, CONE, EXAM, JEAN, MANE, MASON, MEAN, MOAN, NAME, NOSE, OCEAN, OMEN, ONCE, SAME, SANE, SCAM, SCAN, SOME]
ITASIVPM 5 10 10 [MAST, MIST, PAST, SPAM, SPIT, STAMP, VAST, VISA, VISIT, VISTA]
IDAGOETL 3 38 24 [DATE, DEAL, DEALT, DELI, DELTA, DETAIL, DIAL, DIET, EDIT, GALE, GATE, GLAD, GLIDE, GOAL, GOALIE, GOAT, GOLD, IDEA, IDEAL, IDLE, IDOL, LAID, LATE, LEAD, LEGIT, LITE, LOAD, LODGE, TAIL, TALE, TEAL, TIDAL, TIDE, TILDA, TILDE, TILE, TOAD, TOLD]
UILTEHKW 1 9 9 [HIKE, HULK, KITE, LIKE, LITE, TILE, WHILE, WHITE, WITH]
UDRNKAEA 1 20 16 [AREA, ARENA, AURA, DARE, DARK, DARN, DEAR, DRANK, DRUNK, DUKE, DUNE, DUNK, EARN, NEAR, NERD, RAKE, RANK, READ, RUDE, UNDER]
EQCTIRUK 2 19 18 [CITE, CURE, CUTE, KITE, QUICK, QUICKER, QUIET, QUIT, QUITE, RICE, TICK, TIER, TIRE, TREK, TRICK, TRUCE, TRUCK, TRUE, TUCK]
word	count
DIET	3
EDIT	3
TIDE	3
ACID	2
AMID	2
CURE	2
DATE	2
DENT	2
DINE	2
DUNE	2
DUNK	2
EURO	2
EVIL	2
EXAM	2
GATE	2
IDEA	2
KITE	2
LITE	2
LIVE	2
LOSE	2
MAID	2
NOSE	2
SAME	2
SCAM	2
SCAN	2
SOLE	2
SOME	2
TEND	2
TIER	2
TILE	2
TIRE	2
TRUE	2
VEIL	2
VILE	2
VISA	2
WARM	2
WHITE	2
WITH	2
WORE	2
ACNE	1
AERO	1
AGENT	1
AGING	1
AISLE	1
ALIVE	1
ALSO	1
ANTI	1
AREA	1
ARENA	1
ARMOR	1
ARROW	1
AURA	1
BASH	1
BELL	1
BILL	1
BLUE	1
BLUR	1
BLUSH	1
BONE	1
BONUS	1
BORE	1
BORN	1
BORNE	1
BUNCH	1
BURN	1
BUSH	1
CAME	1
CANAL	1
CANE	1
CANOE	1
CARD	1
CASE	1
CASH	1
CASUAL	1
CIGAR	1
CITE	1
CLAN	1
CLASH	1
CLUB	1
COKE	1
COMA	1
COME	1
CONE	1
CORE	1
CORK	1
CUFF	1
CUTE	1
DAISY	1
DARE	1
DARK	1
DARN	1
DATING	1
DEAL	1
DEALT	1
DEAR	1
DELI	1
DELTA	1
DENY	1
DETAIL	1
DETAIN	1
DIAL	1
DING	1
DINO	1
DISC	1
DIVE	1
DOWN	1
DRAG	1
DRANK	1
DRAW	1
DRUNK	1
DUET	1
DUKE	1
DYING	1
EARN	1
EATING	1
FORCE	1
FORE	1
FORK	1
FOUR	1
GAIN	1
GALE	1
GANG	1
GIANT	1
GLAD	1
GLIDE	1
GOAL	1
GOALIE	1
GOAT	1
GOLD	1
GRAD	1
GRAM	1
GRID	1
GRIM	1
HARE	1
HARM	1
HAUL	1
HEAR	1
HEIR	1
HERO	1
HIKE	1
HIRE	1
HOME	1
HULK	1
HURT	1
HYPE	1
HYPER	1
IDEAL	1
IDLE	1
IDOL	1
ISLE	1
JEAN	1
JOIN	1
JOKE	1
JOKER	1
JUDO	1
JUNE	1
JUNK	1
KIND	1
KNOW	1
LAID	1
LASH	1
LATE	1
LAUNCH	1
LEAD	1
LEGIT	1
LENS	1
LIKE	1
LIMB	1
LIME	1
LOAD	1
LOBE	1
LODGE	1
LONE	1
LORE	1
LOSER	1
LOVE	1
LUNA	1
LUNCH	1
LURE	1
LUSH	1
MAGIC	1
MAKE	1
MANE	1
MARE	1
MARROW	1
MASK	1
MASON	1
MAST	1
MEAN	1
MILE	1
MILL	1
MIST	1
MOAN	1
MORE	1
MOUSE	1
MUSE	1
MUSIC	1
NAME	1
NEAR	1
NEAT	1
NERD	1
NEXT	1
NOBLE	1
NOTE	1
NURSE	1
OCEAN	1
OFFER	1
OLIVE	1
OMEN	1
ONCE	1
ONTO	1
OVAL	1
OWNER	1
PAST	1
PIER	1
PITY	1
PREY	1
PURE	1
PURITY	1
QUICK	1
QUICKER	1
QUIET	1
QUIT	1
QUITE	1
RAID	1
RAKE	1
RANK	1
RARE	1
READ	1
REAR	1
RENT	1
RICE	1
RIPE	1
ROAM	1
ROAR	1
ROBE	1
ROCK	1
ROLE	1
ROOT	1
ROSE	1
RUBLE	1
RUDE	1
RULE	1
RUTH	1
SAID	1
SAIL	1
SAKE	1
SALE	1
SANE	1
SAVE	1
SCUM	1
SEAL	1
SLAVE	1
SLOW	1
SMOKE	1
SNORE	1
SOAK	1
SOBER	1
SOIL	1
SOLVE	1
SORE	1
SOUL	1
SOUR	1
SPAM	1
SPIT	1
STAMP	1
SUCH	1
SURE	1
TAIL	1
TALE	1
TEAL	1
TENOR	1
THEIR	1
THEY	1
THREW	1
TICK	1
TIDAL	1
TIDY	1
TILDA	1
TILDE	1
TINY	1
TOAD	1
TOLD	1
TONE	1
TONER	1
TOON	1
TORE	1
TORN	1
TOWER	1
TOWN	1
TREK	1
TRICK	1
TRIP	1
TRUCE	1
TRUCK	1
TUCK	1
TUNE	1
TYING	1
TYPE	1
TYRE	1
UNDER	1
UNDO	1
UNIT	1
UNITE	1
USER	1
VALE	1
VASE	1
VAST	1
VEIN	1
VENT	1
VIBE	1
VIEW	1
VINE	1
VIOLA	1
VISIT	1
VISTA	1
WARD	1
WARE	1
WARMER	1
WAVE	1
WEAR	1
WENT	1
WHILE	1
WHIP	1
WHOA	1
WHOM	1
WIND	1
WINK	1
WIPE	1
WIRE	1
WISE	1
WITHER	1
WORM	1
WORN	1
WOUND	1
WRITE	1
WROTE	1
