# selection_mode=random_letters
# max_letter_set_size=9
# runs=10000
# successful_runs=9997
# failed_runs=3
word	count
BORE	335
ROBE	335
MAZE	334
MARE	321
PORE	319
ROPE	319
HALE	315
HEAL	315
OVER	312
EXAM	311
GALE	307
SAME	298
CAME	294
NOPE	293
OPEN	293
MORE	292
BEAM	291
GORE	290
LEAP	289
PALE	289
PLEA	289
MANE	286
MEAN	286
NAME	286
LAME	285
LEAF	285
MAKE	285
MALE	285
MEAL	285
ABLE	283
BALE	283
CORE	283
HEAP	283
NOTE	283
TONE	283
FORE	282
ZERO	279
YEAR	278
RAVE	277
VALE	277
PAVE	276
VAPE	276
APEX	275
CAKE	275
OVEN	274
PEAR	274
REAP	274
WORE	273
DAME	272
MADE	272
PANE	272
SAVE	272
VASE	272
MATE	269
MEAT	269
META	269
SAGE	269
TAME	269
TEAM	269
BARE	267
BEAR	267
GAVE	267
PAGE	263
GAME	262
ZONE	262
FAME	261
HATE	261
HEAT	261
PIER	261
RIPE	261
EXIT	260
LAKE	259
LEAK	259
BASE	258
CONE	258
DEAL	258
HAVE	258
LEAD	258
ONCE	258
CAVE	257
NEAT	257
SAFE	257
TAPE	257
DONE	256
NODE	256
LOBE	255
JEAN	254
POKE	254
DINE	252
HEAD	252
LACE	252
SANE	252
VEIN	251
VINE	251
WAKE	251
WEAK	251
WARE	250
WEAR	250
GEAR	249
RAGE	249
ACHE	247
BEAT	247
BETA	247
EACH	247
GAZE	247
PEAK	247
GONE	246
TAKE	246
BAKE	245
BEAK	245
CAGE	245
HERO	244
PINE	244
BONE	243
ROSE	243
SORE	243
ACNE	242
CANE	242
MOVE	242
RAKE	242
FILE	241
GATE	241
LIFE	241
DIAL	240
LAID	240
SAKE	240
CASE	239
COKE	238
SITE	238
BEAN	237
OMEN	237
POSE	237
TORE	237
CAFE	236
FACE	236
NOSE	236
CAPE	235
PACE	235
TUNE	235
FATE	234
FEAT	234
LANE	234
LEAN	234
WAGE	234
CITE	233
DIET	233
EDIT	233
POLE	233
TIDE	233
EAST	232
SEAT	232
ACRE	230
CARE	230
HARE	230
HEAR	230
RACE	230
COPE	229
FARE	229
FEAR	229
HOPE	229
DOER	228
REDO	228
RODE	228
FAKE	227
EARN	226
NEAR	226
POEM	226
COVE	225
DATE	224
OBEY	224
PILE	224
PREY	224
FIRE	223
WADE	223
ANTI	222
ISLE	222
WINE	222
DIVE	221
EMIT	221
ITEM	221
SAIL	221
TIME	221
HOSE	220
NICE	220
SALE	220
SEAL	220
SHOE	220
DELI	218
EVIL	218
FINE	218
IDLE	218
LIVE	218
VEIL	218
VILE	218
DEAF	217
FADE	217
PURE	217
WAVE	217
COME	216
EASY	216
FAIL	216
SOME	216
VETO	216
VOTE	216
ECHO	215
LIKE	215
DARE	214
DEAR	214
HIDE	214
POET	214
READ	214
ROAM	214
BITE	213
DEMO	212
DOME	212
EPIC	212
LONE	212
MODE	212
DOPE	211
GOES	211
RATE	211
TARE	211
TEAR	211
KITE	210
LOVE	210
WIDE	210
CODE	209
COIN	209
DIRE	209
HAIL	209
ICON	209
JOKE	209
LATE	209
RIDE	209
TALE	209
TEAL	209
EURO	208
EXPO	207
LORE	207
RISE	207
ROLE	207
VIBE	207
AKIN	206
DOVE	206
EARL	206
MINE	206
MOLE	206
REAL	206
VERB	206
AERO	204
TAIL	204
DUNE	203
LIME	203
MILE	203
NAIL	203
NAZI	203
URGE	202
VICE	202
MAIL	201
WOKE	201
DUAL	200
GAIN	200
WISE	200
HONE	199
SIDE	199
WIRE	199
DINO	198
REIN	198
DICE	196
HOME	196
HIVE	195
SEMI	195
OATH	194
SUIT	194
HALO	193
HEIR	193
HIRE	193
LOSE	193
SOLE	193
BREW	192
GIVE	192
VIEW	192
HOLE	191
DIME	190
LOAD	190
MICE	190
RICE	189
SIZE	189
NEXT	188
RAIN	188
TUBE	188
BAIL	187
COAL	187
COLA	187
GOAL	187
LINE	187
COAT	186
TACO	186
VERY	186
WIFE	186
DOSE	185
FUEL	185
IDOL	185
LITE	185
TAXI	185
TILE	185
MUTE	184
CUTE	183
LUNA	182
PIKE	182
SURE	182
USER	182
BOIL	181
CENT	181
FIVE	181
LIAR	181
LURE	181
PEST	181
RAIL	181
RULE	181
STEP	181
WIPE	181
GREY	180
HELD	180
DUET	179
INTO	179
KNEW	178
TIER	178
TIRE	178
UNDO	178
VAIN	178
NECK	177
PAIN	177
SAID	177
BLUE	176
MAIN	176
METH	176
THEM	176
TRUE	176
BIKE	175
BOAR	175
CURE	175
MUSE	175
RUDE	175
BENT	174
FUSE	174
IDEA	174
IRON	174
PRAY	174
VENT	174
AXIS	173
COIL	173
GREW	173
NEST	173
SENT	173
HERB	172
MAUL	172
RAID	172
TYRE	172
DUEL	171
OVAL	171
ROAD	171
SELF	171
ATOP	170
LOUD	170
DENT	169
TEND	169
UNIT	169
BEST	168
ARMY	167
JOIN	167
GLAD	166
JUNE	166
MULE	166
PAIR	166
ATOM	165
AUNT	165
FIAT	165
MOAT	165
TUNA	165
AMID	164
BRED	164
FLAG	164
MAID	164
THIS	164
BOAT	163
FLED	163
HALF	163
HAUL	163
FOIL	162
HELP	162
ORAL	162
VEST	162
DENY	161
DREW	161
ALSO	160
FLEX	160
GOAT	160
LANG	160
MESH	160
WENT	160
GLUE	159
HIKE	159
MENU	159
BLEW	158
FOLD	158
HAIR	158
WHOA	158
CALF	157
COMA	157
CORK	157
LION	157
ROCK	157
STEW	157
WEST	157
YARD	157
HYPE	156
PLAY	156
YARN	156
BAIT	155
MOAN	155
TYPE	155
YOUR	155
BOLD	154
CASH	154
ENVY	154
SANG	154
FAST	153
OMNI	153
RIOT	153
TRIO	153
FLEW	152
STEM	152
TANK	152
THEN	152
TOAD	152
DING	151
JAIL	151
KEPT	151
LASH	151
LOAN	151
NEWS	151
RAMP	151
ROUT	151
TOUR	151
WAIT	151
CLUE	150
DECK	150
SOIL	150
TECH	150
DASH	149
DAWN	149
FORM	149
FROM	149
LADY	149
MARK	149
WAND	149
WARY	149
LACK	148
LAMB	148
LONG	148
MATH	148
SANK	148
SODA	148
SPEC	148
VAST	148
BALD	147
CLAY	147
COPY	147
DRAW	147
HARM	147
KNOT	147
NICK	147
OILY	147
WARD	147
BYTE	146
CALM	146
CHEW	146
FLAW	146
HECK	146
HELM	146
SEND	146
TERM	146
TORY	146
BEND	145
CROP	145
HALT	145
INFO	145
NOVA	145
ACID	144
BELT	144
PLAN	144
POLY	144
SIGN	144
SING	144
SOAP	144
TREK	144
FLAT	143
FLIP	143
HERD	143
LEND	143
SINK	143
SKIN	143
THAN	143
DUST	142
FOAM	142
KNIT	142
STUD	142
BIAS	141
CAST	141
KILO	141
LAND	141
SHUT	141
THUS	141
CUBE	140
DUKE	140
PORK	140
POUR	140
THEY	140
WARM	140
COLD	139
DESK	139
GOLD	139
MILD	139
VISA	139
BLOG	138
FAIR	138
FARM	138
HUGE	138
LAMP	138
PALM	138
WANT	138
BROW	137
CREW	137
MASH	137
PAST	137
PROM	137
STAY	137
WHAT	137
AUTO	136
KNOW	136
PAID	136
PARK	136
QUIT	136
WILD	136
TEMP	135
WALK	135
WIND	135
CHIN	134
DONG	134
FOUR	134
INCH	134
JUST	134
KING	134
LENT	134
MOLD	134
TRAY	134
YOGA	134
FELT	133
LEFT	133
POND	133
PONY	133
SACK	133
WARP	133
WRAP	133
DORM	132
DRAG	132
FOUL	132
GRAD	132
HOST	132
SHOT	132
STAB	132
WHEN	132
WINK	132
BORN	131
CLAP	131
COST	131
GOLF	131
HOLD	131
MOTH	131
OMIT	131
PATH	131
SILK	131
DOWN	130
LEST	130
SHIN	130
TASK	130
WING	130
CHAT	129
DROP	129
FEUD	129
FROG	129
HINT	129
SCAN	129
SLID	129
THIN	129
TWIN	129
WORD	129
BOUT	128
CORD	128
DEBT	128
FIND	128
LAST	128
LIFT	128
PROF	128
SALT	128
SHIP	128
SOFA	128
TINY	128
TOWN	128
WASH	128
WORM	128
ARCH	127
CRAB	127
GROW	127
KIND	127
LAWN	127
PAWN	127
SAND	127
SPIT	127
BLOW	126
BOWL	126
GOWN	126
SLAP	126
UPON	126
YUAN	126
BANG	125
CHIP	125
LENS	125
LOCK	125
MANY	125
MUST	125
SCAM	125
BOLT	124
BUST	124
DAMP	124
FLOP	124
GRAM	124
PORT	124
POST	124
SPOT	124
STOP	124
TALK	124
BOND	123
CARP	123
CORN	123
FIST	123
LYRE	123
MIND	123
NERD	123
PING	123
PINK	123
RELY	123
SICK	123
SOUR	123
TICK	123
BAND	122
BLOC	122
BURY	122
