# selection_mode=random_word
# max_letter_set_size=9
# runs=1000
# successful_runs=1000
# failed_runs=0
word	count
REIN	156
GRIN	142
RING	142
RAIN	128
GAIN	124
ANTI	123
RATE	122
TARE	122
TEAR	122
EARN	117
NEAR	117
INTO	107
RENT	107
TIER	104
TIRE	104
RANT	98
NEAT	96
NICE	93
RANG	89
SIGN	88
SING	88
TREE	87
RISE	86
NOTE	85
TONE	85
COIN	83
ICON	83
REIGN	83
EARL	80
IRON	80
REAL	80
TAIL	79
TEEN	78
GRAIN	75
RICE	75
NAIL	74
TORE	74
DINE	73
GEAR	73
RAGE	73
SITE	72
ACRE	69
CARE	69
CITE	69
RACE	69
LATE	68
TALE	68
TEAL	68
REST	67
LINE	66
CORE	65
INTER	65
CONE	64
ONCE	64
TORN	64
EAST	63
SEAT	63
DING	62
DIRE	62
LITE	62
RIDE	62
TILE	62
NOSE	61
NINE	60
ROSE	60
SORE	60
ACNE	59
CANE	59
AERO	58
MAIN	58
TRAIN	58
CENT	57
MINE	57
NEST	57
RIOT	57
SEER	57
SENT	57
TRIO	57
LANE	56
LEAN	56
LIAR	56
RAIL	56
REEL	54
SANE	54
CART	52
ANGER	51
RANGE	51
TINT	51
NERD	50
PING	50
RESIN	50
RISEN	50
SIREN	50
ISLE	49
SALE	49
SEAL	49
SURE	49
USER	49
ENTER	48
MANE	48
MEAN	48
NAME	48
RARE	48
REAR	48
IDEA	47
TART	47
DARE	46
DEAR	46
READ	46
CORN	45
DICE	45
GIANT	45
STAR	45
TRUE	45
COAT	44
GONE	44
LEST	44
PEAR	44
REAP	44
STIR	44
TACO	44
LION	43
NICER	43
PORE	43
ROPE	43
SEEN	43
LENT	42
LIST	42
SIDE	42
DINO	41
EATER	41
GENE	41
INTRO	41
NITRO	41
OMNI	41
GORE	40
GRID	40
LACE	40
SAIL	40
SORT	40
UNIT	40
DEER	39
ELSE	39
EMIT	39
ITEM	39
LANG	39
MARE	39
MATE	39
MEAT	39
META	39
MINT	39
RAID	39
REED	39
REGAIN	39
TAME	39
TEAM	39
TIME	39
DATE	38
DIET	38
DONE	38
EASE	38
EDIT	38
LORE	38
NODE	38
PINE	38
ROLE	38
TIDE	38
ALIGN	37
PAIN	37
RUIN	37
STEIN	37
ALERT	36
ALIEN	36
ALTER	36
CATER	36
CRATE	36
DOER	36
EURO	36
GATE	36
LATER	36
LATIN	36
LENS	36
OMEN	36
REACT	36
REDO	36
RODE	36
SANG	36
SONG	36
TRACE	36
AREA	35
ARISE	35
COST	35
DARN	35
DENT	35
GIST	35
NEON	35
NONE	35
PIER	35
RAISE	35
RIPE	35
STAT	35
TEND	35
CAST	34
CRANE	34
CURE	34
GRIND	34
LOSE	34
NOISE	34
SEND	34
SOLE	34
STONE	34
TENT	34
TERM	34
MORE	33
NIECE	33
PART	33
TRAP	33
CASE	32
CODE	32
GRANT	32
HARE	32
HEAR	32
SOUR	32
TENOR	32
TONER	32
EATEN	31
LEARN	31
LOAN	31
LONE	31
NEED	31
PEER	31
PINT	31
POET	31
RUST	31
TAPE	31
ANIME	30
GENRE	30
GREEN	30
LURE	30
MERE	30
ORAL	30
PANE	30
RETAIN	30
RULE	30
SAINT	30
SATIN	30
STAIN	30
TITAN	30
TRIP	30
CUTE	29
EVER	29
FINE	29
GREAT	29
HERO	29
LAST	29
PORT	29
RAVE	29
SALT	29
TRAIL	29
TRIAL	29
VEIN	29
VINE	29
COAL	28
COLA	28
GALE	28
HINT	28
OMIT	28
RATIO	28
SAID	28
SAME	28
SEMI	28
TEST	28
THIN	28
TUNE	28
ABLE	27
BALE	27
BARE	27
BEAR	27
COLT	27
CORD	27
DOSE	27
INFO	27
LYRE	27
MART	27
MEANT	27
MICE	27
MOAN	27
PAIR	27
RELY	27
STING	27
THIS	27
TRAIT	27
TRAM	27
TYRE	27
YEAR	27
AGENT	26
AUTO	26
CLAN	26
COIL	26
COPE	26
INNER	26
LINER	26
LITER	26
LITRE	26
SAGE	26
SINCE	26
STEM	26
TURN	26
CROP	25
DRAG	25
GIRL	25
GRAD	25
HOSE	25
MEET	25
RIDGE	25
ROAD	25
SHIN	25
SHOE	25
SOME	25
SPIN	25
TRAY	25
YARN	25
ACID	24
ACTOR	24
ALLY	24
DINAR	24
DRAIN	24
EVIL	24
HATE	24
HEAT	24
HOST	24
LIVE	24
ROUT	24
SHOT	24
SNORE	24
SONIC	24
STARE	24
STORE	24
SUIT	24
TOUR	24
VEIL	24
VILE	24
AISLE	23
ATOM	23
DIME	23
ERASE	23
GRIP	23
IGNORE	23
MOAT	23
NOTICE	23
OVER	23
POSE	23
RATING	23
REGION	23
RESIGN	23
SCAN	23
SIGH	23
SINGER	23
SUNG	23
TIGER	23
TILL	23
TREAT	23
CHIN	22
CIDER	22
CIGAR	22
DIRT	22
FIRE	22
INCH	22
LOGIN	22
LONG	22
MOST	22
NANO	22
NOPE	22
OPEN	22
PEST	22
RATION	22
RUNG	22
SAND	22
SCAR	22
STEP	22
SUING	22
USING	22
VALE	22
ACHE	21
CODER	21
COME	21
CREDO	21
DART	21
DECOR	21
DONG	21
EACH	21
FORE	21
HAIR	21
LEAP	21
LOST	21
ONTO	21
PALE	21
PLEA	21
PURE	21
RESET	21
SLOT	21
STEER	21
TERSE	21
TOON	21
ALSO	20
ARCH	20
AUNT	20
BOAR	20
CAGE	20
CAME	20
CARD	20
DELI	20
ERECT	20
HEIR	20
HIRE	20
IDLE	20
LESS	20
LILY	20
MIST	20
ORIENT	20
ROAR	20
RUDE	20
SCORE	20
SLIP	20
START	20
TUNA	20
VICE	20
ANGEL	19
ANGLE	19
ARGON	19
ASIDE	19
ASSET	19
CLEAR	19
CRINGE	19
ENTIRE	19
EVEN	19
FONT	19
GLARE	19
GRAM	19
IRIS	19
LAGER	19
LAME	19
LARGE	19
LATINO	19
MAIL	19
MALE	19
MEAL	19
MINER	19
NORM	19
ORGAN	19
PEEL	19
RASH	19
RETAIL	19
SEED	19
SOIL	19
SPEC	19
SPUR	19
TACT	19
TALL	19
TOAD	19
TRIM	19
AGREE	18
CALL	18
CARING	18
DINGO	18
DOING	18
EAGER	18
EATING	18
ELITE	18
GRIM	18
KING	18
LEAST	18
LIME	18
MARS	18
MILE	18
NIGHT	18
NOUN	18
POLE	18
RACING	18
RETRO	18
ROAM	18
SLATE	18
SPIT	18
STALE	18
STAY	18
STEAL	18
STERN	18
STINT	18
TELL	18
THEN	18
THING	18
TORY	18
TRUCE	18
VENT	18
VITAL	18
ATOP	17
BAIL	17
BORE	17
CANOE	17
CLAY	17
CLEAN	17
CLUE	17
CREST	17
DAME	17
